Date,Open,High,Low,Close,Volume
21-11-19,65.922501,66.002502,65.294998,65.502502,121395200
22-11-19,65.647499,65.794998,65.209999,65.445,65325200
25-11-19,65.677498,66.610001,65.629997,66.592499,84020400
26-11-19,66.735001,66.790001,65.625,66.072502,105207600
27-11-19,66.394997,66.995003,66.327499,66.959999,65235600
29-11-19,66.650002,67,66.474998,66.8125,46617600
02-12-19,66.817497,67.0625,65.862503,66.040001,94487200
03-12-19,64.577499,64.8825,64.072502,64.862503,114430400
04-12-19,65.267502,65.827499,65.169998,65.434998,67181600
05-12-19,65.947502,66.472504,65.682503,66.394997,74424400
06-12-19,66.870003,67.75,66.824997,67.677498,106075600
09-12-19,67.5,67.699997,66.227501,66.730003,128042400
10-12-19,67.150002,67.517502,66.464996,67.120003,90420400
11-12-19,67.202499,67.775002,67.125,67.692497,78756800
12-12-19,66.945,68.139999,66.830002,67.864998,137310400
13-12-19,67.864998,68.824997,67.732498,68.787498,133587600
16-12-19,69.25,70.197502,69.245003,69.964996,128186000
17-12-19,69.892502,70.442497,69.699997,70.102501,114158400
18-12-19,69.949997,70.474998,69.779999,69.934998,116028400
19-12-19,69.875,70.294998,69.737503,70.004997,98369200
20-12-19,70.557503,70.662498,69.639999,69.860001,275978000
23-12-19,70.1325,71.0625,70.092499,71,98572000
24-12-19,71.172501,71.222504,70.730003,71.067497,48478800
26-12-19,71.205002,72.495003,71.175003,72.477501,93121200
27-12-19,72.779999,73.4925,72.029999,72.449997,146266000
30-12-19,72.364998,73.172501,71.305,72.879997,144114400
31-12-19,72.482498,73.419998,72.379997,73.412498,100805600
02-01-20,74.059998,75.150002,73.797501,75.087502,135480400
03-01-20,74.287498,75.144997,74.125,74.357498,146322800
06-01-20,73.447502,74.989998,73.1875,74.949997,118387200
07-01-20,74.959999,75.224998,74.370003,74.597504,108872000
08-01-20,74.290001,76.110001,74.290001,75.797501,132079200
09-01-20,76.809998,77.607498,76.550003,77.407501,170108400
10-01-20,77.650002,78.167503,77.0625,77.582497,140644800
13-01-20,77.910004,79.267502,77.787498,79.239998,121532000
14-01-20,79.175003,79.392502,78.042503,78.169998,161954400
15-01-20,77.962502,78.875,77.387497,77.834999,121923600
16-01-20,78.397499,78.925003,78.022499,78.809998,108829200
17-01-20,79.067497,79.684998,78.75,79.682503,137816400
21-01-20,79.297501,79.754997,79,79.142502,110843200
22-01-20,79.644997,79.997498,79.327499,79.425003,101832400
23-01-20,79.480003,79.889999,78.912498,79.807503,104472000
24-01-20,80.0625,80.832497,79.379997,79.577499,146537600
27-01-20,77.514999,77.942497,76.220001,77.237503,161940000
28-01-20,78.150002,79.599998,78.047501,79.422501,162234000
29-01-20,81.112503,81.962502,80.345001,81.084999,216229200
30-01-20,80.135002,81.022499,79.6875,80.967499,126743200
31-01-20,80.232498,80.669998,77.072502,77.377502,199588400
03-02-20,76.074997,78.372498,75.555,77.165001,173985600
04-02-20,78.827499,79.910004,78.407501,79.712502,136616400
05-02-20,80.879997,81.190002,79.737503,80.362503,118826800
06-02-20,80.642502,81.305,80.065002,81.302498,105425600
07-02-20,80.592499,80.849998,79.5,80.0075,117684000
10-02-20,78.544998,80.387497,78.462502,80.387497,109348800
11-02-20,80.900002,80.974998,79.677498,79.902496,94323200
12-02-20,80.3675,81.805,80.3675,81.800003,113730400
13-02-20,81.047501,81.555,80.837502,81.217499,94747600
14-02-20,81.184998,81.495003,80.712502,81.237503,80113600
18-02-20,78.839996,79.9375,78.652496,79.75,152531200
19-02-20,80,81.142502,80,80.904999,93984000
20-02-20,80.657501,81.162498,79.552498,80.074997,100566000
21-02-20,79.654999,80.112503,77.625,78.262497,129554000
24-02-20,74.315002,76.044998,72.307503,74.544998,222195200
25-02-20,75.237503,75.6325,71.532501,72.019997,230673600
26-02-20,71.6325,74.470001,71.625,73.162498,198054800
27-02-20,70.275002,71.5,68.239998,68.379997,320605600
28-02-20,64.315002,69.602501,64.092499,68.339996,426884800
02-03-20,70.57,75.360001,69.43,74.702499,341397200
03-03-20,75.917503,76,71.449997,72.330002,319475600
04-03-20,74.110001,75.849998,73.282501,75.684998,219178400
05-03-20,73.879997,74.887497,72.852501,73.230003,187572800
06-03-20,70.5,72.705002,70.307503,72.2575,226176800
09-03-20,65.9375,69.522499,65.75,66.542503,286744800
10-03-20,69.285004,71.610001,67.342499,71.334999,285290000
11-03-20,69.347504,70.305,67.964996,68.857498,255598800
12-03-20,63.985001,67.5,62,62.057499,418474000
13-03-20,66.222504,69.980003,63.237499,69.4925,370732000
16-03-20,60.487499,64.769997,60,60.552502,322423600
17-03-20,61.877499,64.402496,59.599998,63.215,324056000
18-03-20,59.942501,62.5,59.279999,61.6675,300233600
19-03-20,61.8475,63.209999,60.6525,61.195,271857200
20-03-20,61.794998,62.9575,57,57.310001,401693200
23-03-20,57.02,57.125,53.1525,56.092499,336752800
24-03-20,59.09,61.922501,58.575001,61.720001,287531200
25-03-20,62.6875,64.5625,61.075001,61.380001,303602000
26-03-20,61.630001,64.669998,61.59,64.610001,252087200
27-03-20,63.1875,63.967499,61.762501,61.935001,204216800
30-03-20,62.685001,63.880001,62.349998,63.702499,167976400
31-03-20,63.900002,65.622498,63,63.572498,197002000
01-04-20,61.625,62.18,59.782501,60.227501,176218400
02-04-20,60.084999,61.287498,59.224998,61.232498,165934000
03-04-20,60.700001,61.424999,59.7425,60.352501,129880000
06-04-20,62.724998,65.777496,62.345001,65.6175,201820400
07-04-20,67.699997,67.925003,64.75,64.857498,202887200
08-04-20,65.684998,66.842499,65.307503,66.517502,168895200
09-04-20,67.175003,67.517502,66.175003,66.997498,162116400
13-04-20,67.077499,68.425003,66.457497,68.3125,131022800
14-04-20,70,72.0625,69.512497,71.762497,194994800
15-04-20,70.599998,71.582497,70.157501,71.107498,131154400
16-04-20,71.845001,72.050003,70.587502,71.672501,157125200
17-04-20,71.172501,71.737503,69.214996,70.699997,215250000
20-04-20,69.487503,70.419998,69.212502,69.232498,130015200
21-04-20,69.07,69.3125,66.357498,67.092499,180991600
22-04-20,68.402496,69.474998,68.050003,69.025002,117057200
23-04-20,68.967499,70.4375,68.717499,68.7575,124814400
24-04-20,69.300003,70.752502,69.25,70.7425,126508800
27-04-20,70.449997,71.135002,69.987503,70.792503,117087600
28-04-20,71.269997,71.457497,69.550003,69.644997,112004800
29-04-20,71.182503,72.417503,70.972504,71.932503,137280800
30-04-20,72.489998,73.6325,72.087502,73.449997,183064000
01-05-20,71.5625,74.75,71.462502,72.267502,60154200
04-05-20,72.292503,73.422501,71.580002,73.290001,33392000
05-05-20,73.764999,75.25,73.614998,74.389999,36937800
06-05-20,75.114998,75.809998,74.717499,75.157501,35583400
07-05-20,75.805,76.292503,75.4925,75.934998,28803800
08-05-20,76.410004,77.587502,76.072502,77.532501,33512000
11-05-20,77.025002,79.262497,76.809998,78.752502,36486600
12-05-20,79.457497,79.922501,77.727501,77.852501,40575300
13-05-20,78.037498,78.987503,75.802498,76.912498,50155600
14-05-20,76.127502,77.447502,75.3825,77.385002,39732300
15-05-20,75.087502,76.974998,75.052498,76.927498,41587100
18-05-20,78.292503,79.125,77.580002,78.739998,33843100
19-05-20,78.7575,79.629997,78.252502,78.285004,25432400
20-05-20,79.169998,79.879997,79.129997,79.807503,27876200
21-05-20,79.665001,80.222504,78.967499,79.212502,25640700
22-05-20,78.942497,79.807503,78.837502,79.722504,81803200
26-05-20,80.875,81.059998,79.125,79.182503,125522000
27-05-20,79.035004,79.677498,78.272499,79.527496,112945200
28-05-20,79.192497,80.860001,78.907501,79.5625,133560800
29-05-20,79.8125,80.287498,79.1175,79.485001,153598000
01-06-20,79.4375,80.587502,79.302498,80.462502,80791200
02-06-20,80.1875,80.860001,79.732498,80.834999,87642800
03-06-20,81.165001,81.550003,80.574997,81.279999,104491200
04-06-20,81.097504,81.404999,80.195,80.580002,87560400
05-06-20,80.837502,82.9375,80.807503,82.875,137250400
08-06-20,82.5625,83.400002,81.830002,83.364998,95654400
09-06-20,83.035004,86.402496,83.002502,85.997498,147712400
10-06-20,86.974998,88.692497,86.522499,88.209999,166651600
11-06-20,87.327499,87.764999,83.870003,83.974998,201662400
12-06-20,86.18,86.949997,83.555,84.699997,200146000
15-06-20,83.3125,86.419998,83.144997,85.747498,138808800
16-06-20,87.864998,88.300003,86.18,88.019997,165428800
17-06-20,88.787498,88.849998,87.772499,87.897499,114406400
18-06-20,87.852501,88.362503,87.305,87.932503,96820400
19-06-20,88.660004,89.139999,86.287498,87.43,264476000
22-06-20,87.834999,89.864998,87.787498,89.717499,135445200
23-06-20,91,93.095001,90.567497,91.6325,212155600
24-06-20,91.25,92.197502,89.629997,90.014999,192623200
25-06-20,90.175003,91.25,89.392502,91.209999,137522400
26-06-20,91.102501,91.330002,88.254997,88.407501,205256800
29-06-20,88.3125,90.542503,87.82,90.445,130646000
30-06-20,90.019997,91.495003,90,91.199997,140223200
01-07-20,91.279999,91.839996,90.977501,91.027496,110737200
02-07-20,91.962502,92.6175,90.910004,91.027496,114041600
06-07-20,92.5,93.945,92.467499,93.462502,118655600
07-07-20,93.852501,94.654999,93.057503,93.172501,112424400
08-07-20,94.18,95.375,94.089996,95.342499,117092000
09-07-20,96.262497,96.317497,94.672501,95.752502,125642800
10-07-20,95.334999,95.980003,94.705002,95.919998,90257200
13-07-20,97.264999,99.955002,95.2575,95.477501,191649200
14-07-20,94.839996,97.254997,93.877502,97.057503,170989200
15-07-20,98.989998,99.247498,96.489998,97.724998,153198000
16-07-20,96.5625,97.404999,95.904999,96.522499,110577600
17-07-20,96.987503,97.147499,95.839996,96.327499,92186800
20-07-20,96.417503,98.5,96.0625,98.357498,90318000
21-07-20,99.172501,99.25,96.7425,97,103646000
22-07-20,96.692497,97.974998,96.602501,97.272499,89001600
23-07-20,96.997498,97.077499,92.010002,92.845001,197004400
24-07-20,90.987503,92.970001,89.144997,92.614998,185438800
27-07-20,93.709999,94.904999,93.480003,94.809998,121214000
28-07-20,94.3675,94.550003,93.247498,93.252502,103625600
29-07-20,93.75,95.230003,93.712502,95.040001,90329200
30-07-20,94.1875,96.297501,93.767502,96.190002,158130000
31-07-20,102.885002,106.415001,100.824997,106.260002,374336800
03-08-20,108.199997,111.637497,107.892502,108.9375,308151200
04-08-20,109.1325,110.790001,108.387497,109.665001,173071600
05-08-20,109.377502,110.392502,108.897499,110.0625,121992000
06-08-20,110.404999,114.412498,109.797501,113.902496,202428800
07-08-20,113.205002,113.675003,110.292503,111.112503,198045600
10-08-20,112.599998,113.775002,110,112.727501,212403600
11-08-20,111.970001,112.482498,109.107498,109.375,187902400
12-08-20,110.497498,113.275002,110.297501,113.010002,165944800
13-08-20,114.43,116.042503,113.927498,115.010002,210082000
14-08-20,114.830002,115,113.044998,114.907501,165565200
17-08-20,116.0625,116.087502,113.962502,114.607498,119561600
18-08-20,114.352501,116,114.0075,115.5625,105633600
19-08-20,115.982498,117.162498,115.610001,115.707497,145538000
20-08-20,115.75,118.392502,115.732498,118.275002,126907200
21-08-20,119.262497,124.8675,119.25,124.370003,338054800
24-08-20,128.697495,128.785004,123.9375,125.857498,345937600
25-08-20,124.697502,125.18,123.052498,124.824997,211495600
26-08-20,126.18,126.9925,125.082497,126.522499,163022400
27-08-20,127.142502,127.485001,123.832497,125.010002,155552400
28-08-20,126.012497,126.442497,124.577499,124.807503,187630000
31-08-20,127.580002,131,126,129.039993,225702700
01-09-20,132.759995,134.800003,130.529999,134.179993,152470100
02-09-20,137.589996,137.979996,127,131.399994,200119000
03-09-20,126.910004,128.839996,120.5,120.879997,257599600
04-09-20,120.07,123.699997,110.889999,120.959999,332607200
08-09-20,113.949997,118.989998,112.68,112.82,231366600
09-09-20,117.260002,119.139999,115.260002,117.32,176940500
10-09-20,120.360001,120.5,112.5,113.489998,182274400
11-09-20,114.57,115.230003,110,112,180860300
14-09-20,114.720001,115.93,112.800003,115.360001,140150100
15-09-20,118.330002,118.830002,113.610001,115.540001,184642000
16-09-20,115.230003,116,112.040001,112.129997,154679000
17-09-20,109.720001,112.199997,108.709999,110.339996,178011000
18-09-20,110.400002,110.879997,106.089996,106.839996,287104900
21-09-20,104.540001,110.190002,103.099998,110.080002,195713800
22-09-20,112.68,112.860001,109.160004,111.809998,183055400
23-09-20,111.620003,112.110001,106.769997,107.120003,150718700
24-09-20,105.169998,110.25,105,108.220001,167743300
25-09-20,108.43,112.440002,107.669998,112.279999,149981400
28-09-20,115.010002,115.32,112.779999,114.959999,137672400
29-09-20,114.550003,115.309998,113.57,114.089996,99382200
30-09-20,113.790001,117.260002,113.620003,115.809998,142675200
01-10-20,117.639999,117.720001,115.830002,116.790001,116120400
02-10-20,112.889999,115.370003,112.220001,113.019997,144712000
05-10-20,113.910004,116.650002,113.550003,116.5,106243800
06-10-20,115.699997,116.120003,112.25,113.160004,161498200
07-10-20,114.620003,115.550003,114.129997,115.080002,96849000
08-10-20,116.25,116.400002,114.589996,114.970001,83477200
09-10-20,115.279999,117,114.919998,116.970001,100506900
12-10-20,120.059998,125.18,119.279999,124.400002,240226800
13-10-20,125.269997,125.389999,119.650002,121.099998,262330500
14-10-20,121,123.029999,119.620003,121.190002,151062300
15-10-20,118.720001,121.199997,118.150002,120.709999,112559200
16-10-20,121.279999,121.550003,118.809998,119.019997,115393800
19-10-20,119.959999,120.419998,115.660004,115.980003,120639300
20-10-20,116.199997,118.980003,115.629997,117.510002,124423700
21-10-20,116.669998,118.709999,116.449997,116.870003,89946000
22-10-20,117.449997,118.040001,114.589996,115.75,101988000
23-10-20,116.389999,116.550003,114.279999,115.040001,82572600
26-10-20,114.010002,116.550003,112.879997,115.050003,111850700
27-10-20,115.489998,117.279999,114.540001,116.599998,92276800
28-10-20,115.050003,115.43,111.099998,111.199997,143937800
29-10-20,112.370003,116.93,112.199997,115.32,146129200
30-10-20,111.059998,111.989998,107.720001,108.860001,190272600
02-11-20,109.110001,110.68,107.32,108.769997,122866900
03-11-20,109.660004,111.489998,108.730003,110.440002,107624400
04-11-20,114.139999,115.589996,112.349998,114.949997,138235500
05-11-20,117.949997,119.620003,116.870003,119.029999,126387100
06-11-20,118.32,119.199997,116.129997,118.690002,114457900
09-11-20,120.5,121.989998,116.050003,116.32,154515300
10-11-20,115.550003,117.589996,114.129997,115.970001,138023400
11-11-20,117.190002,119.629997,116.440002,119.489998,112295000
12-11-20,119.620003,120.529999,118.57,119.209999,103162300
13-11-20,119.440002,119.669998,117.870003,119.260002,81581900
16-11-20,118.919998,120.989998,118.150002,120.300003,91183000
17-11-20,119.550003,120.669998,118.959999,119.389999,74271000
18-11-20,118.610001,119.82,118,118.029999,76322100
19-11-20,117.589996,119.059998,116.809998,118.639999,74113000
20-11-20,118.639999,118.769997,117.290001,117.339996,73391400
